ntree      OOB      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35
    1:  78.12% 61.79% 79.91% 81.57% 80.83% 80.58% 80.09% 89.89% 87.76% 92.21% 92.98% 64.46% 96.84% 96.10% 93.75% 96.88% 83.33% 38.46%100.00%100.00% 91.30%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    2:  77.75% 61.77% 79.62% 78.63% 80.00% 77.19% 81.10% 91.16% 89.22% 91.16% 95.31% 57.39% 95.68% 99.20% 92.31% 98.70% 82.67% 27.78% 95.35%100.00% 94.59%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    3:  77.37% 60.33% 77.92% 79.31% 81.68% 74.75% 81.47% 90.14% 91.70% 90.58% 93.85% 60.27% 96.45% 96.77% 90.32% 98.96% 83.87% 31.82% 96.43%100.00% 90.70%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    4:  76.72% 58.74% 77.06% 79.59% 80.61% 75.00% 79.85% 90.46% 90.65% 89.43% 94.98% 59.61% 96.92% 97.81% 88.57% 99.07% 82.35% 30.43% 96.92%100.00% 97.83%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%
   15:  72.18% 48.65% 73.64% 75.70% 77.64% 68.30% 79.68% 90.69% 89.58% 92.02% 95.40% 47.84% 93.92% 97.61% 91.89% 99.22% 81.51% 28.00% 98.68%100.00%100.00%100.00% 97.50% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   16:  71.91% 47.83% 73.56% 75.88% 77.40% 67.55% 80.00% 89.88% 90.10% 91.77% 95.40% 45.18% 96.20% 97.13% 91.89%100.00% 80.67% 28.00%100.00%100.00%100.00%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   17:  71.56% 46.89% 73.64% 75.56% 77.40% 68.30% 79.84% 90.28% 90.10% 91.52% 95.40% 43.85% 95.06% 96.65% 94.59%100.00% 79.83% 28.00%100.00%100.00%100.00%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   18:  71.39% 46.80% 73.18% 75.24% 77.64% 68.68% 78.73% 90.08% 89.32% 91.54% 95.40% 45.18% 94.68% 97.13% 94.59%100.00% 78.99% 28.00%100.00%100.00%100.00%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   19:  71.12% 45.39% 73.34% 76.86% 77.10% 68.30% 79.05% 89.88% 89.84% 91.29% 94.79% 43.52% 95.06% 96.17% 94.59%100.00% 79.83% 28.00% 98.68%100.00% 98.11%100.00%100.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   20:  70.72% 44.54% 73.26% 75.58% 76.74% 67.92% 79.52% 90.49% 90.10% 92.04% 95.09% 41.53% 94.68% 96.65% 94.59%100.00% 78.99% 28.00% 98.68%100.00%100.00%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   21:  70.26% 44.17% 72.57% 75.20% 76.74% 67.55% 78.73% 89.88% 89.06% 89.55% 95.09% 40.86% 95.44% 96.65% 91.89%100.00% 80.00% 28.00% 98.68%100.00%100.00%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   22:  70.29% 44.32% 73.68% 74.88% 75.90% 68.68% 78.73% 89.27% 88.02% 89.55% 95.71% 40.86% 95.06% 96.65% 94.59%100.00% 79.17% 28.00% 98.68%100.00% 98.11%100.00% 97.56% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   23:  70.12% 43.98% 72.89% 75.36% 76.62% 66.79% 77.94% 89.88% 88.02% 90.55% 95.09% 39.20% 95.06% 95.69% 94.59%100.00% 80.00% 28.00% 97.37%100.00% 98.11%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   24:  69.94% 43.13% 72.17% 75.36% 77.46% 68.30% 77.78% 89.07% 89.06% 90.55% 95.71% 39.53% 95.06% 96.17% 94.59%100.00% 80.00% 28.00% 98.68%100.00% 98.11%100.00%100.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   25:  70.00% 43.24% 72.41% 75.84% 76.98% 68.68% 77.78% 89.27% 89.32% 88.56% 95.40% 40.86% 94.68% 96.17% 94.59%100.00% 81.67% 28.00% 98.68%100.00% 96.23%100.00%100.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
